param_name,stop_loss_pct,take_profit_pct,min_confidence,max_position_size,ta_weight,fa_weight,volume_threshold,min_technical_score,min_fundamental_score,avg_return,std_return,avg_max_drawdown,avg_sharpe_ratio,avg_win_rate,total_trades,avg_profit_factor,consistency_score,risk_adjusted_score,periods_tested,periods_profitable
Config_40,0.03,0.06,60.0,0.25,0.4,0.6,1.0,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_41,0.03,0.06,60.0,0.25,0.4,0.6,1.2,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_42,0.03,0.06,60.0,0.25,0.4,0.6,1.5,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_43,0.03,0.06,60.0,0.25,0.5,0.5,1.0,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_44,0.03,0.06,60.0,0.25,0.5,0.5,1.2,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_45,0.03,0.06,60.0,0.25,0.5,0.5,1.5,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_46,0.03,0.06,60.0,0.3,0.3,0.7,1.0,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_47,0.03,0.06,60.0,0.3,0.3,0.7,1.2,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_48,0.03,0.06,60.0,0.3,0.3,0.7,1.5,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_49,0.03,0.06,60.0,0.3,0.4,0.6,1.0,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_50,0.03,0.06,60.0,0.3,0.4,0.6,1.2,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
